"No.","Time","Source","Destination","Protocol","Length","Info"
"13094","216.615419","34.149.100.209","192.168.122.247","TCP","58","443  >  42802 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"13097","216.615938","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=1 Ack=219 Win=65535 Len=0"
"13099","216.638411","34.149.100.209","192.168.122.247","TLSv1.2","1494","Server Hello"
"13101","216.638540","34.149.100.209","192.168.122.247","TLSv1.2","1494","Certificate [TCP segment of a reassembled PDU]"
"13103","216.638694","34.149.100.209","192.168.122.247","TLSv1.2","269","Server Key Exchange, Server Hello Done"
"13106","216.642256","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=3096 Ack=312 Win=65535 Len=0"
"13107","216.661654","34.149.100.209","192.168.122.247","TLSv1.2","434","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message, Application Data"
"13111","216.672337","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=3476 Ack=489 Win=65535 Len=0"
"13112","216.672912","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=3476 Ack=809 Win=65535 Len=0"
"13113","216.672942","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=3476 Ack=847 Win=65535 Len=0"
"13114","216.690706","34.149.100.209","192.168.122.247","TLSv1.2","92","Application Data"
"13115","216.691588","34.149.100.209","192.168.122.247","TLSv1.2","195","Application Data"
"13118","216.693088","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=3655 Ack=893 Win=65535 Len=0"
"13120","216.741175","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=3655 Ack=1050 Win=65535 Len=0"
"13121","216.763166","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13122","216.763254","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"13123","216.763270","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13124","216.763276","34.149.100.209","192.168.122.247","TLSv1.2","1009","Application Data"
"13126","216.765239","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13127","216.765310","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13128","216.765319","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13130","216.765399","34.149.100.209","192.168.122.247","TLSv1.2","734","Application Data"
"13137","216.767644","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13138","216.767664","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13139","216.767670","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13140","216.767697","34.149.100.209","192.168.122.247","TLSv1.2","384","Application Data, Application Data"
"13144","216.770003","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=18580 Ack=1096 Win=65535 Len=0"
"13802","216.947506","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=18580 Ack=1272 Win=65535 Len=0"
"13804","216.976412","34.149.100.209","192.168.122.247","TLSv1.2","166","Application Data"
"13806","216.979839","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=18692 Ack=1318 Win=65535 Len=0"
"13813","217.046334","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=18692 Ack=1451 Win=65535 Len=0"
"13814","217.065230","34.149.100.209","192.168.122.247","TLSv1.2","143","Application Data"
"13816","217.067832","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=18781 Ack=1497 Win=65535 Len=0"
"13818","217.292042","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=18781 Ack=1646 Win=65535 Len=0"
"13819","217.314011","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"13820","217.314043","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13821","217.314050","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13822","217.314067","34.149.100.209","192.168.122.247","TLSv1.2","889","Application Data"
"13824","217.314976","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13825","217.314994","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data"
"13827","217.317724","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13828","217.317745","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13830","217.317825","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13831","217.317831","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13832","217.317839","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13833","217.317845","34.149.100.209","192.168.122.247","TLSv1.2","354","Application Data"
"13836","217.318968","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13837","217.318988","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data"
"13839","217.320127","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13840","217.320216","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data"
"13842","217.321151","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13843","217.321274","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13844","217.321287","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13845","217.321324","34.149.100.209","192.168.122.247","TLSv1.2","734","Application Data"
"13848","217.323133","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13849","217.323179","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13850","217.323214","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13851","217.323221","34.149.100.209","192.168.122.247","TLSv1.2","734","Application Data"
"13852","217.323226","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13853","217.323234","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data"
"13856","217.325130","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13857","217.325215","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data [TCP segment of a reassembled PDU]"
"13859","217.325432","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13860","217.325471","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data [TCP segment of a reassembled PDU]"
"13861","217.326641","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13862","217.326663","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data [TCP segment of a reassembled PDU]"
"13863","217.327270","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13864","217.327292","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data [TCP segment of a reassembled PDU]"
"13866","217.328594","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13867","217.328618","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data [TCP segment of a reassembled PDU]"
"13869","217.330014","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13870","217.330091","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13872","217.330185","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13873","217.330193","34.149.100.209","192.168.122.247","TLSv1.2","734","Application Data [TCP segment of a reassembled PDU]"
"13875","217.331719","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13876","217.331730","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13877","217.331748","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13878","217.331756","34.149.100.209","192.168.122.247","TLSv1.2","734","Application Data [TCP segment of a reassembled PDU]"
"13881","217.332972","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13882","217.333017","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13883","217.333026","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13885","217.333079","34.149.100.209","192.168.122.247","TLSv1.2","734","Application Data [TCP segment of a reassembled PDU]"
"13887","217.334238","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13888","217.334254","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data [TCP segment of a reassembled PDU]"
"13890","217.335272","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13891","217.335397","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data [TCP segment of a reassembled PDU]"
"13893","217.336071","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13894","217.336213","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data [TCP segment of a reassembled PDU]"
"13896","217.336518","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13897","217.336534","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data [TCP segment of a reassembled PDU]"
"13899","217.337817","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13900","217.337834","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data [TCP segment of a reassembled PDU]"
"13902","217.341076","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13903","217.341161","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13904","217.341168","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13905","217.341214","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13907","217.341294","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"13909","217.341306","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13910","217.341314","34.149.100.209","192.168.122.247","TLSv1.2","1414","Application Data [TCP segment of a reassembled PDU]"
"13912","217.342327","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13914","217.342429","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13915","217.342442","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13916","217.342457","34.149.100.209","192.168.122.247","TLSv1.2","734","Application Data [TCP segment of a reassembled PDU]"
"13918","217.342947","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13919","217.342965","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data [TCP segment of a reassembled PDU]"
"13921","217.343822","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13922","217.343846","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data [TCP segment of a reassembled PDU]"
"13924","217.348502","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13926","217.348825","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13927","217.348831","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13928","217.348921","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13929","217.348932","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"13930","217.348940","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13931","217.348955","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13932","217.348960","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13933","217.348969","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13934","217.348974","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13935","217.348979","34.149.100.209","192.168.122.247","TLSv1.2","654","Application Data [TCP segment of a reassembled PDU]"
"13936","217.348987","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13937","217.348992","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13938","217.348997","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13941","217.349169","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"13943","217.349180","34.149.100.209","192.168.122.247","TCP","544","443  >  42802 [PSH, ACK] Seq=132196 Ack=1646 Win=65535 Len=490 [TCP segment of a reassembled PDU]"
"13948","217.349595","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13949","217.349607","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13950","217.349612","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13951","217.349617","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"13952","217.349624","34.149.100.209","192.168.122.247","TCP","544","443  >  42802 [PSH, ACK] Seq=138446 Ack=1646 Win=65535 Len=490 [TCP segment of a reassembled PDU]"
"13956","217.363088","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13957","217.363119","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13958","217.363133","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13960","217.363793","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"13962","217.363838","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13963","217.363869","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13965","217.363898","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13966","217.364048","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13967","217.364055","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13968","217.364060","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"13969","217.364067","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13970","217.364072","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13971","217.364077","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13972","217.364085","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13973","217.364090","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13974","217.364096","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"13975","217.364101","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13976","217.364106","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13977","217.364112","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13978","217.364117","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13979","217.364122","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13980","217.364128","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13981","217.364133","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"13982","217.364138","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13983","217.364144","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13984","217.364149","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13985","217.364156","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13986","217.364160","34.149.100.209","192.168.122.247","TLSv1.2","1174","Application Data [TCP segment of a reassembled PDU]"
"13987","217.364165","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13988","217.364171","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13989","217.364176","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"13990","217.364181","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13991","217.364187","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13992","217.364192","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13993","217.364197","34.149.100.209","192.168.122.247","TLSv1.2","1414","Application Data [TCP segment of a reassembled PDU]"
"14008","217.368033","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14010","217.368161","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14011","217.368195","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14013","217.368305","34.149.100.209","192.168.122.247","TCP","734","443  >  42802 [PSH, ACK] Seq=193256 Ack=1646 Win=65535 Len=680 [TCP segment of a reassembled PDU]"
"14014","217.368903","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14016","217.369002","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14017","217.369022","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14019","217.369111","34.149.100.209","192.168.122.247","TCP","734","443  >  42802 [PSH, ACK] Seq=198256 Ack=1646 Win=65535 Len=680 [TCP segment of a reassembled PDU]"
"14020","217.374974","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14021","217.375041","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14022","217.375073","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14023","217.375087","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14025","217.375747","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14027","217.375768","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14028","217.375774","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14029","217.375780","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14030","217.375787","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14031","217.375793","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14032","217.375799","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14033","217.375807","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14034","217.375813","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14035","217.375822","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14036","217.375828","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14037","217.375834","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14038","217.375841","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14039","217.375846","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14040","217.375852","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14041","217.375859","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14042","217.375865","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14043","217.375871","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14044","217.375878","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14045","217.375883","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14046","217.375891","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14047","217.375896","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14048","217.375902","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14049","217.375910","34.149.100.209","192.168.122.247","TLSv1.2","1174","Application Data [TCP segment of a reassembled PDU]"
"14050","217.375916","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14051","217.375922","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14052","217.375929","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14053","217.375935","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14054","217.375940","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14055","217.375948","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14056","217.375954","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14057","217.376338","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14058","217.376350","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14059","217.376356","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14060","217.376364","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14061","217.376370","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14062","217.376386","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14063","217.376394","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14064","217.376399","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14065","217.376406","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14066","217.376412","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14067","217.376417","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14068","217.376424","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14070","217.376485","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14092","217.376766","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14093","217.376820","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14094","217.377020","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14095","217.377061","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14096","217.377080","34.149.100.209","192.168.122.247","TLSv1.2","494","Application Data [TCP segment of a reassembled PDU]"
"14100","217.380427","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14101","217.380603","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14103","217.380805","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14104","217.380860","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14106","217.380949","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14107","217.380996","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14109","217.381074","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14110","217.381095","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14112","217.381141","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14113","217.381162","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14115","217.381221","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14116","217.381245","34.149.100.209","192.168.122.247","TLSv1.2","464","Application Data [TCP segment of a reassembled PDU]"
"14118","217.381316","34.149.100.209","192.168.122.247","TLSv1.2","1304","Application Data [TCP segment of a reassembled PDU]"
"14119","217.381338","34.149.100.209","192.168.122.247","TLSv1.2","1304","Application Data [TCP segment of a reassembled PDU]"
"14121","217.381393","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14122","217.381416","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14124","217.381487","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14125","217.381508","34.149.100.209","192.168.122.247","TLSv1.2","734","Application Data [TCP segment of a reassembled PDU]"
"14127","217.382170","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14128","217.382209","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14130","217.382272","34.149.100.209","192.168.122.247","TLSv1.2","924","Application Data [TCP segment of a reassembled PDU]"
"14131","217.390291","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14133","217.390410","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
