"No.","Time","Source","Destination","Protocol","Length","Info"
"14649","217.817730","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14650","217.817737","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14652","217.817845","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14653","217.818015","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14655","217.818270","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14656","217.818303","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14657","217.818309","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14658","217.818322","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14659","217.818328","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14660","217.818356","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14661","217.818363","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14662","217.818392","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14663","217.818399","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14664","217.818404","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14665","217.818409","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14666","217.818416","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14667","217.818421","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14668","217.818426","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14670","217.818966","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14672","217.818976","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14674","217.818988","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14676","217.818997","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14678","217.819819","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14680","217.819849","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14682","217.819875","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14683","217.819889","34.149.100.209","192.168.122.247","TLSv1.2","1174","Application Data [TCP segment of a reassembled PDU]"
